公司或商業登記名稱,公司統一編號,業者地址,食品業者登錄字號,登錄項目
礽豐國際餐飲股份有限公司,54219969,台北市信義區松壽路12號4樓,A-154219969-00003-6,餐飲場所
特威茶葉有限公司,54269242,台北市信義區市府路45號5樓L501,A-154269242-00002-4,餐飲場所
丰騰美食有限公司,54271423,台北市信義區信義路四段393號1樓,A-154271423-00003-9,餐飲場所
馳宙行銷有限公司,54287804,台北市信義區忠孝東路五段8號B2,A-154287804-00001-7,餐飲場所
瓦城泰統股份有限公司竹科分公司,54292905,台北市信義區松仁路58號14樓,A-154292905-00004-8,餐飲場所
京嘉國際餐飲股份有限公司,,台北市信義區景聯里吳興街３８號,A-154306892-00001-6,餐飲場所
京王品餐飲股份有限公司,54321084,台北市信義區松壽路11號,A-154321084-00001-6,餐飲場所
尊榮股份有限公司,54341650,台北市信義區松高路19號B1,A-154341650-00002-8,餐飲場所
壹珈一有限公司,83073957,台北市信義區基隆路2段22之4號1樓,A-183073957-00002-2,餐飲場所
聚食育樂食品股份有限公司,83080752,台北市信義區松高路12號B2,A-183080752-00002-3,餐飲場所
聚食育樂食品股份有限公司,83080752,台北市信義區松壽路11號B2,A-183080752-00004-5,餐飲場所
小本有限公司,83083553,台北市信義區基隆路1段190巷7號1樓,A-183083553-00001-4,餐飲場所
瀧安有限公司,83095278,台北市信義區松壽路12號(櫃位編號:5樓-40),A-183095278-00001-1,餐飲場所
奎士股份有限公司,83097938,台北市信義區忠孝東路四段563號一樓,A-183097938-00001-6,餐飲場所
奎士股份有限公司,83097938,台北市信義區松壽路11號2樓,A-183097938-00003-8,餐飲場所
奎士股份有限公司,83097938,台北市信義區松仁路58號四樓,A-183097938-00005-0,餐飲場所
奎士股份有限公司,83097938,台北市信義區市府路45號B1,A-183097938-00006-1,餐飲場所
口香糖俱樂部股份有限公司,83115794,台北市信義區信義路五段18號B1,A-183115794-00010-7,餐飲場所
耕筵股份有限公司,83119861,台北市信義區光復南路423號1樓,A-183119861-00001-6,餐飲場所
康丞生醫企業有限公司,83121228,台北市信義區松壽路11號B2,A-183121228-00002-7,餐飲場所
康丞生醫企業有限公司,83121228,台北市信義區忠孝東路5段8號 B2,A-183121228-00013-9,餐飲場所
康丞生醫企業有限公司,83121228,台北市信義區松壽路11號B2,A-183121228-00014-0,餐飲場所
若水金禾餐飲股份有限公司,83122492,台北市信義區忠孝東路四段553巷22弄4-1號,A-183122492-00001-0,餐飲場所
瑪沙餐飲有限公司,83142758,台北市信義區松山路415號一樓,A-183142758-00003-9,餐飲場所
我們的食代有限公司,83156041,台北市信義區基隆路2段199號,A-183156041-00001-7,餐飲場所
韓胖館餐飲有限公司,83156226,台北市信義區忠孝東路4段559巷26號1樓,A-183156226-00001-2,餐飲場所
治富食品股份有限公司,83160707,台北市信義區忠孝東路五段8號B2,A-183160707-00012-3,餐飲場所
小螺波餐飲股份有限公司,83176715,台北市信義區永吉路30巷157弄2號1樓,A-183176715-00007-3,餐飲場所
蓉鼎有限公司,89595503,台北市信義區忠孝東路4段553巷24號1樓,A-189595503-00001-3,餐飲場所
中敦國際股份有限公司,89621636,台北市信義區仁愛路4段505號,A-189621636-00001-0,餐飲場所
二十一世紀生活事業股份有限公司,89627033,台北市信義區松高路12號B2(A8館),A-189627033-00012-9,餐飲場所
二十一世紀生活事業股份有限公司,89627033,台北市信義區忠孝東路五段8號B2,A-189627033-00036-5,餐飲場所
二十一世紀生活事業股份有限公司,89627033,台北市信義區松仁路 58 號 4 樓,A-189627033-00090-5,餐飲場所
二十一世紀生活事業股份有限公司,89627033,台北市信義區信義路五段5號2樓,A-189627033-00093-8,餐飲場所
二十一世紀生活事業股份有限公司,89627033,台北市信義區松仁路91-1號1樓,A-189627033-00161-4,餐飲場所
二十一世紀生活事業股份有限公司,89627033,台北市信義區新仁里東興路57號,A-189627033-00173-7,餐飲場所
二十一世紀生活事業股份有限公司,89627033,台北市信義區忠孝東路五段6號1樓,A-189627033-00200-8,餐飲場所
二十一世紀生活事業股份有限公司,89627033,台北市信義區永吉路30巷178弄1號一樓,A-189627033-00232-3,餐飲場所
二十一世紀生活事業股份有限公司,89627033,台北市信義區東興路67號1樓,A-189627033-00258-1,餐飲場所
